text,output
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/CffVj3s93L… https://t.co/673o9jn6Jo",Positive
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/GMVxqfof5n… https://t.co/fbAQJCkjV1",Positive
"Detect the sentiment of the tweet. I am experimenting whether I can live only with bit coins donated. Please cooperate.

3NKbfJuuMKzNMYMcLqCf5w8TgeGvue7A5 ##bitcoin #Donation",Positive
Detect the sentiment of the tweet. RT @lopp: @psycho_sage @naval Bitcoin is a game where everybody watches everybody else to make sure nobody cheats.,Positive
"Detect the sentiment of the tweet. free airdrop
@rabbi2018 @alamgir39623942 @alamgir1996 @alam201212 @best_rated_ico https://t.co/KijU4Ciz1G",Positive
"Detect the sentiment of the tweet. RT @DrDenaGrayson: 🛑BREAKING🛑

Rockin' Rod Rosenstein to make a MAJOR CYBER LAW ENFORCEMENT announcement tomorrow‼️

*TREASURY* Undersecret…",Positive
Detect the sentiment of the tweet. RT @UPROXX: Twitter CEO Jack Dorsey predicts that #Bitcoin will be the world's ‘single currency’ within 10 years https://t.co/T8pf7BxDHx ht…,Negative
Detect the sentiment of the tweet. RT @UPROXX: Twitter CEO Jack Dorsey predicts that #Bitcoin will be the world's ‘single currency’ within 10 years https://t.co/T8pf7BxDHx ht…,Negative
"Detect the sentiment of the tweet. RT @DrDenaGrayson: 🛑BREAKING🛑

Rockin' Rod Rosenstein to make a MAJOR CYBER LAW ENFORCEMENT announcement tomorrow‼️

*TREASURY* Undersecret…",Positive
Detect the sentiment of the tweet. RT @evankirstel: Green light for new national IoT initiative in Trondheim https://t.co/jJhtn5mnn2 #IoT #InternetOfThings #IIoT #IndustrialI…,Positive
"Detect the sentiment of the tweet. RT @CoinsAirdrops: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
New Airdrop #Hubtrex 📢

#Hubtrex New Exchange is doin…",Positive
"Detect the sentiment of the tweet. RT @BlockChainIRPR: ALERT:US SANCTIONS
#BTC #BITCOIN DOWN TO $7000 #ETH #ETHEREUM HACKED 📉
 DOWN WHILE US TREASURY TARGETS CRYPTO OMG!!! 
➡…",Negative
"Detect the sentiment of the tweet. RT @ToneVays: #Trading #Bitcoin starts now, from a bar in Moscow #Russia at 2am... i am just full of good ideas... let's take a look at $BT…",Positive
"Detect the sentiment of the tweet. Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/qb2NXPknVt… https://t.co/zRc7CKHePe",Positive
"Detect the sentiment of the tweet. Good Work XYOracleNetwork Project #xyonetwork #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH 
https://t.co/wHP70dWpBp",Positive
"Detect the sentiment of the tweet. RT @bethereumteam: The whole #betting process in only 5 steps!
Easy, secure and engaging using: https://t.co/dXpy0T6IUp
#socialbetting #onl…",Positive
"Detect the sentiment of the tweet. RT @DrDenaGrayson: 🛑BREAKING🛑

Rockin' Rod Rosenstein to make a MAJOR CYBER LAW ENFORCEMENT announcement tomorrow‼️

*TREASURY* Undersecret…",Positive
Detect the sentiment of the tweet. RT @NTmoney: Trillion dollar question: do the Bitcoin and Ethereum communities figure out scalability or do new “scalable-first” networks e…,Positive
Detect the sentiment of the tweet. RT @lopp: @psycho_sage @naval Bitcoin is a game where everybody watches everybody else to make sure nobody cheats.,Positive
Detect the sentiment of the tweet. RT @nfrisbie83: OK Internet... I need your help... let’s break a #worldrecord ... see how much #bitcoin we can cram into my wallet in #24ho…,Positive
"Detect the sentiment of the tweet. In particular, every full node watches every other full node (including watching the miners).  Robots in green eyes… https://t.co/zhvZWpCCEp",Positive
"Detect the sentiment of the tweet. https://t.co/0ScptZxYqG ""Satoshi’s Vision Conference Live Stream"" #Bitcoin #Ethereum #Blockchain #Trading",Positive
"Detect the sentiment of the tweet. Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",Negative
Detect the sentiment of the tweet. Bitcoin heading back down.  \u2026 $BTCUSD https://t.co/CXbIvztYvq,Negative
